Source,Scraped,Headline,Link
Daily FT,2020-01-15,Militant monk modernises Muslim marriages,http://www.ft.lk/columns/Militant-monk-modernises-Muslim-marriages/4-693485
Daily FT,2020-01-15,A century of multilateralism: Will it last another 100?,http://www.ft.lk/columns/A-century-of-multilateralism-Will-it-last-another-100/4-693486
Daily FT,2020-01-15,Upgrading livelihood strategies and the redeployment of three-wheeler drivers in Sri Lanka,http://www.ft.lk/columns/Upgrading-livelihood-strategies-and-the-redeployment-of-three-wheeler-drivers-in-Sri-Lanka/4-693487
Daily FT,2020-01-15,Nature of circumstances  in business – yet unforeseen,http://www.ft.lk/columns/Nature-of-circumstances-in-business-yet-unforeseen/4-693488
Daily FT,2020-01-15,Follow the leader: Management by Walking Around,http://www.ft.lk/columns/Follow-the-leader-Management-by-Walking-Around/4-693489
Daily Mirror,2020-01-15,Why protesting undergrads have clout,http://www.dailymirror.lk/opinion/Why-protesting-undergrads-have-clout/172-181260
Daily Mirror,2020-01-15,LET’S PRACTISE KINDNESS,http://www.dailymirror.lk/opinion/LETS-PRACTISE-KINDNESS/172-181259
Daily Mirror,2020-01-15,Ranja redux,http://www.dailymirror.lk/opinion/Ranja-redux/172-181254
Daily Mirror,2020-01-15,Vehicle horn etiquette,http://www.dailymirror.lk/opinion/Vehicle-horn-etiquette/172-181253
Daily Mirror,2020-01-15,Higher Education Crisis,http://www.dailymirror.lk/opinion/Higher-Education-Crisis/172-181192
Daily Mirror,2020-01-15,Ranjan’s tapes and  Looming Coup Against Independent Commissions,http://www.dailymirror.lk/opinion/Ranjans-tapes-and-Looming-Coup-Against-Independent-Commissions/172-181193
Colombo Telegraph,2020-01-15,The JVP & The Sinhala Voter,https://www.colombotelegraph.com/index.php/the-jvp-the-sinhala-voter/
Colombo Telegraph,2020-01-15,Mano & His Manokāya: Psychophysical Actor Left Stage: A Tribute To Dr Jayalath Manorathne,https://www.colombotelegraph.com/index.php/mano-his-manokaya-psychophysical-actor-left-stage-a-tribute-to-dr-jayalath-manorathne/
Colombo Telegraph,2020-01-15,"Uniqueness Of Srikanthaluxmy Arulanantham, Late Librarian, University Of Jaffna: Librarianship Amidst The Ashes Of War",https://www.colombotelegraph.com/index.php/uniqueness-of-srikanthaluxmy-arulanantham-late-librarian-university-of-jaffna-librarianship-amidst-the-ashes-of-war/
Colombo Telegraph,2020-01-15,Too Much Law & Order Leads To Insecurity When The Police Are Communal Gangsters,https://www.colombotelegraph.com/index.php/too-much-law-order-leads-to-insecurity-when-the-police-are-communal-gangsters/
Daily FT,2020-01-16,Why foreign earnings could solve the debt problem,http://www.ft.lk/columns/Why-foreign-earnings-could-solve-the-debt-problem/4-693639
Daily FT,2020-01-16,Are we a zero-sum economy?,http://www.ft.lk/columns/Are-we-a-zero-sum-economy/4-693631
Daily FT,2020-01-16,Use resources wisely and change the to circular – A call to arms,http://www.ft.lk/columns/Use-resources-wisely-and-change-the-to-circular-A-call-to-arms/4-693632
Daily FT,2020-01-16,"Do not exploit the struggle for MMDA reform; reject repeal, support reform",http://www.ft.lk/opinion/Do-not-exploit-the-struggle-for-MMDA-reform-reject-repeal-support-reform/14-693633
Daily FT,2020-01-16,Trade unions press State to ratify ILO Convention,http://www.ft.lk/opinion/Trade-unions-press-State-to-ratify-ILO-Convention/14-693634
Daily FT,2020-01-16,Collective bargaining demands a democratic opposition,http://www.ft.lk/opinion/Collective-bargaining-demands-a-democratic-opposition/14-693635
Daily FT,2020-01-16,The tale of a National Anthem: What do we know and where do we go from here?,http://www.ft.lk/columns/The-tale-of-a-National-Anthem-What-do-we-know-and-where-do-we-go-from-here/4-693636
Daily FT,2020-01-16,"Election year: Voters, please take note",http://www.ft.lk/columns/Election-year-Voters-please-take-note/4-693638
Daily Mirror,2020-01-16,pillow-talk or public concerns?,http://www.dailymirror.lk/opinion/pillow-talk-or-public-concerns/172-181296
